frame,zone1_ratio,zone2_ratio,zone3_ratio,zone4_ratio,zone5_ratio
1,0.856,0.144,0.0,0.0,0.0
2,0.8464444,0.152,0.0015555555,0.0,0.0
3,0.84566665,0.14877778,0.0055555557,0.0,0.0
4,0.84555554,0.14772223,0.006722222,0.0,0.0
5,0.84555554,0.14711112,0.007333333,0.0,0.0
6,0.84555554,0.14633334,0.008111111,0.0,0.0
7,0.8455,0.14577778,0.008722222,0.0,0.0
8,0.8455,0.14516667,0.009333333,0.0,0.0
9,0.8455,0.14483333,0.009666666,0.0,0.0
10,0.8455,0.1445,0.01,0.0,0.0
11,0.8455,0.14427778,0.010222223,0.0,0.0
12,0.8455,0.14394444,0.010555555,0.0,0.0
13,0.8455,0.14383334,0.010666667,0.0,0.0
14,0.84544444,0.14372222,0.010833333,0.0,0.0
15,0.8453889,0.1435,0.011111111,0.0,0.0
16,0.84533334,0.14344445,0.011222222,0.0,0.0
17,0.8452778,0.14327778,0.011444445,0.0,0.0
18,0.84522223,0.14322223,0.011555555,0.0,0.0
19,0.84522223,0.143,0.011777778,0.0,0.0
20,0.84522223,0.14288889,0.011888889,0.0,0.0
21,0.8451667,0.14266667,0.012166667,0.0,0.0
22,0.8451667,0.14261112,0.012222222,0.0,0.0
23,0.845,0.14255555,0.012444444,0.0,0.0
24,0.845,0.1425,0.0125,0.0,0.0
25,0.8449444,0.14244445,0.012611111,0.0,0.0
26,0.8449444,0.14233333,0.012722222,0.0,0.0
27,0.84488887,0.14227778,0.012833334,0.0,0.0
28,0.84488887,0.14222223,0.012888889,0.0,0.0
29,0.84477776,0.14227778,0.012944444,0.0,0.0
30,0.84477776,0.14222223,0.013,0.0,0.0
31,0.84477776,0.14211111,0.013111111,0.0,0.0
32,0.8446111,0.14222223,0.013166667,0.0,0.0
33,0.84455556,0.14222223,0.013222222,0.0,0.0
34,0.8445,0.14222223,0.0132777775,0.0,0.0
35,0.8443889,0.14216666,0.013444444,0.0,0.0
36,0.84433335,0.14222223,0.013444444,0.0,0.0
37,0.8442778,0.14222223,0.0135,0.0,0.0
38,0.8442778,0.14205556,0.013666667,0.0,0.0
