frame,zone1_ratio,zone2_ratio,zone3_ratio,zone4_ratio,zone5_ratio
1,0.8545,0.1455,0.0,0.0,0.0
2,0.845,0.1528889,0.002111111,0.0,0.0
3,0.84466666,0.1491111,0.006222222,0.0,0.0
4,0.84455556,0.14822222,0.007222222,0.0,0.0
5,0.8445,0.14761111,0.007888889,0.0,0.0
6,0.8445,0.14722222,0.008277778,0.0,0.0
7,0.8445,0.14677778,0.008722222,0.0,0.0
8,0.8445,0.14638889,0.009111111,0.0,0.0
9,0.8445,0.14633334,0.009166666,0.0,0.0
10,0.84444445,0.14611112,0.009444444,0.0,0.0
11,0.84444445,0.14577778,0.009777778,0.0,0.0
12,0.84444445,0.14522222,0.010333333,0.0,0.0
13,0.8443889,0.14494444,0.010666667,0.0,0.0
14,0.8443889,0.14472222,0.0108888885,0.0,0.0
15,0.8443889,0.14455555,0.011055555,0.0,0.0
16,0.8443889,0.14438888,0.011222222,0.0,0.0
17,0.8443889,0.14422221,0.011388889,0.0,0.0
18,0.8443889,0.144,0.011611111,0.0,0.0
19,0.8443889,0.14383334,0.011777778,0.0,0.0
20,0.8443889,0.14344445,0.012166667,0.0,0.0
21,0.84433335,0.14338888,0.012277778,0.0,0.0
22,0.8442778,0.14327778,0.012444444,0.0,0.0
23,0.8442778,0.14311111,0.012611111,0.0,0.0
24,0.8442778,0.143,0.012722222,0.0,0.0
25,0.8442778,0.14288889,0.012833334,0.0,0.0
26,0.84422225,0.14288889,0.012888889,0.0,0.0
27,0.84405553,0.143,0.012944444,0.0,0.0
28,0.84405553,0.14288889,0.0130555555,0.0,0.0
29,0.84405553,0.14277777,0.013166667,0.0,0.0
30,0.844,0.14272222,0.0132777775,0.0,0.0
31,0.8438333,0.14283334,0.013333334,0.0,0.0
32,0.8437222,0.14294444,0.013333334,0.0,0.0
33,0.8437222,0.14288889,0.013388889,0.0,0.0
34,0.8437222,0.14277777,0.0135,0.0,0.0
35,0.84355557,0.14294444,0.0135,0.0,0.0
36,0.84355557,0.14294444,0.0135,0.0,0.0
37,0.8435,0.14294444,0.013555556,0.0,0.0
38,0.8435,0.14288889,0.013611111,0.0,0.0
39,0.8435,0.14288889,0.013611111,0.0,0.0
40,0.8435,0.14283334,0.013666667,0.0,0.0
41,0.8433889,0.14288889,0.013722222,0.0,0.0
42,0.84327775,0.14294444,0.013777778,0.0,0.0
43,0.84305555,0.14311111,0.013833334,0.0,0.0
44,0.843,0.14316666,0.013833334,0.0,0.0
45,0.84294444,0.14316666,0.013888889,0.0,0.0
46,0.8428889,0.14316666,0.013944444,0.0,0.0
47,0.8426667,0.14338888,0.013944444,0.0,0.0
48,0.8425556,0.14344445,0.014,0.0,0.0
49,0.8425,0.1435,0.014,0.0,0.0
50,0.8424444,0.14355555,0.014,0.0,0.0
51,0.84227777,0.14366667,0.014055556,0.0,0.0
52,0.8422222,0.14366667,0.014111111,0.0,0.0
53,0.84216666,0.14366667,0.014166667,0.0,0.0
54,0.84205556,0.14372222,0.014222222,0.0,0.0
55,0.842,0.14377777,0.014222222,0.0,0.0
56,0.8417778,0.144,0.014222222,0.0,0.0
57,0.84172225,0.144,0.014277778,0.0,0.0
58,0.8416111,0.14411111,0.014277778,0.0,0.0
59,0.84155554,0.14411111,0.014333333,0.0,0.0
60,0.8415,0.14411111,0.014388889,0.0,0.0
61,0.8413333,0.14427778,0.014388889,0.0,0.0
62,0.8412222,0.14433333,0.014444444,0.0,0.0
63,0.8412222,0.14416666,0.014611111,0.0,0.0
64,0.8411111,0.14416666,0.014722222,0.0,0.0
65,0.841,0.14422221,0.014777778,0.0,0.0
66,0.8408889,0.14433333,0.014777778,0.0,0.0
67,0.84077775,0.14438888,0.014833333,0.0,0.0
68,0.8407222,0.14444445,0.014833333,0.0,0.0
69,0.8406111,0.1445,0.014888889,0.0,0.0
70,0.8403889,0.14466667,0.014944444,0.0,0.0
71,0.8402778,0.14472222,0.015,0.0,0.0
72,0.8401667,0.14483333,0.015,0.0,0.0
73,0.8400556,0.1448889,0.015055556,0.0,0.0
74,0.8399444,0.145,0.015055556,0.0,0.0
75,0.8093333,0.17527778,0.015388889,0.0,0.0
76,0.8012222,0.16611111,0.03266667,0.0,0.0
77,0.8002222,0.15822223,0.041222222,3.3333333E-4,0.0
78,0.80016667,0.15644445,0.043055557,0.0,3.3333333E-4
79,0.7997222,0.15622222,0.043722223,0.0,3.3333333E-4
80,0.7988333,0.15683334,0.044,0.0,3.3333333E-4
81,0.7981667,0.157,0.0445,0.0,3.3333333E-4
82,0.79744446,0.15716666,0.045055557,0.0,3.3333333E-4
83,0.7966667,0.15727778,0.04561111,1.1111111E-4,3.3333333E-4
84,0.79572225,0.15788889,0.045944445,0.0,4.4444445E-4
85,0.79466665,0.15855555,0.04633333,0.0,4.4444445E-4
86,0.79377776,0.15883334,0.046944443,0.0,4.4444445E-4
87,0.7922222,0.1598889,0.047444444,0.0,4.4444445E-4
88,0.7913333,0.16033334,0.04788889,0.0,4.4444445E-4
89,0.79066664,0.16066666,0.048166666,5.5555556E-5,4.4444445E-4
90,0.7891667,0.16183333,0.048444446,5.5555556E-5,5.0E-4
91,0.7876111,0.16277778,0.048944443,1.6666666E-4,5.0E-4
92,0.7863889,0.16383334,0.049,2.2222222E-4,5.5555557E-4
93,0.7853889,0.16466667,0.04916667,1.6666666E-4,6.111111E-4
94,0.7835,0.16633333,0.04938889,1.1111111E-4,6.6666666E-4
95,0.78194445,0.16738889,0.04988889,1.1111111E-4,6.6666666E-4
96,0.7806111,0.16855556,0.050055556,1.1111111E-4,6.6666666E-4
97,0.77894443,0.17022222,0.050055556,1.1111111E-4,6.6666666E-4
98,0.777,0.17194444,0.05022222,1.6666666E-4,6.6666666E-4
99,0.77555555,0.17322223,0.050388888,1.6666666E-4,6.6666666E-4
100,0.7736667,0.17483333,0.050666668,1.6666666E-4,6.6666666E-4
101,0.77066666,0.17744444,0.051055554,1.6666666E-4,6.6666666E-4
102,0.76783335,0.18,0.051333334,1.6666666E-4,6.6666666E-4
103,0.7648889,0.18283333,0.051444445,1.6666666E-4,6.6666666E-4
104,0.762,0.18544444,0.05172222,1.6666666E-4,6.6666666E-4
105,0.7586111,0.1885,0.052055556,1.6666666E-4,6.6666666E-4
106,0.7548889,0.19216667,0.05211111,1.6666666E-4,6.6666666E-4
