frame,zone1_ratio,zone2_ratio,zone3_ratio,zone4_ratio,zone5_ratio
1,0.8551111,0.1448889,0.0,0.0,0.0
2,0.8462222,0.15222222,0.0015555555,0.0,0.0
3,0.8456111,0.14866666,0.0057222224,0.0,0.0
4,0.8456111,0.14688888,0.0075,0.0,0.0
5,0.8456111,0.14627777,0.008111111,0.0,0.0
6,0.8456111,0.14572223,0.008666666,0.0,0.0
7,0.8456111,0.14533333,0.009055556,0.0,0.0
8,0.8456111,0.14477777,0.009611111,0.0,0.0
9,0.8456111,0.1445,0.009888889,0.0,0.0
10,0.8456111,0.14411111,0.010277778,0.0,0.0
11,0.8456111,0.144,0.010388889,0.0,0.0
12,0.8456111,0.14355555,0.010833333,0.0,0.0
13,0.84555554,0.14327778,0.011166667,0.0,0.0
14,0.84555554,0.14305556,0.011388889,0.0,0.0
15,0.84555554,0.14288889,0.011555555,0.0,0.0
16,0.84555554,0.14277777,0.011666667,0.0,0.0
17,0.84555554,0.14272222,0.011722222,0.0,0.0
18,0.84555554,0.14272222,0.011722222,0.0,0.0
19,0.8453889,0.14272222,0.011888889,0.0,0.0
20,0.8453889,0.14266667,0.011944445,0.0,0.0
21,0.8453889,0.14266667,0.011944445,0.0,0.0
22,0.8453889,0.14222223,0.012388889,0.0,0.0
23,0.8453889,0.14205556,0.012555555,0.0,0.0
24,0.8453889,0.14194444,0.012666667,0.0,0.0
25,0.84533334,0.14194444,0.012722222,0.0,0.0
26,0.84533334,0.14188889,0.012777777,0.0,0.0
27,0.84522223,0.142,0.012777777,0.0,0.0
28,0.84511113,0.14188889,0.013,0.0,0.0
29,0.8450556,0.14188889,0.0130555555,0.0,0.0
30,0.845,0.14188889,0.013111111,0.0,0.0
31,0.845,0.14183334,0.013166667,0.0,0.0
32,0.845,0.14183334,0.013166667,0.0,0.0
33,0.8449444,0.14177778,0.0132777775,0.0,0.0
34,0.8449444,0.14166667,0.013388889,0.0,0.0
35,0.84488887,0.14172222,0.013388889,0.0,0.0
36,0.8446111,0.14194444,0.013444444,0.0,0.0
37,0.8445,0.14194444,0.013555556,0.0,0.0
38,0.8443889,0.14205556,0.013555556,0.0,0.0
39,0.84433335,0.14211111,0.013555556,0.0,0.0
40,0.8442778,0.14216666,0.013555556,0.0,0.0
41,0.8441111,0.14233333,0.013555556,0.0,0.0
42,0.8441111,0.14227778,0.013611111,0.0,0.0
43,0.8441111,0.14222223,0.013666667,0.0,0.0
44,0.84394443,0.1423889,0.013666667,0.0,0.0
45,0.8438333,0.14244445,0.013722222,0.0,0.0
46,0.8437222,0.1425,0.013777778,0.0,0.0
47,0.8436667,0.1425,0.013833334,0.0,0.0
48,0.8436667,0.1425,0.013833334,0.0,0.0
49,0.8436667,0.1425,0.013833334,0.0,0.0
50,0.8436111,0.1425,0.013888889,0.0,0.0
51,0.8436111,0.14233333,0.014055556,0.0,0.0
52,0.8435,0.14244445,0.014055556,0.0,0.0
53,0.84327775,0.14266667,0.014055556,0.0,0.0
54,0.8432222,0.14266667,0.014111111,0.0,0.0
55,0.8431111,0.14272222,0.014166667,0.0,0.0
56,0.84294444,0.14288889,0.014166667,0.0,0.0
57,0.84283334,0.14288889,0.014277778,0.0,0.0
58,0.8426667,0.14305556,0.014277778,0.0,0.0
59,0.8424444,0.14316666,0.014388889,0.0,0.0
60,0.8422222,0.14322223,0.014555556,0.0,0.0
61,0.8422222,0.14311111,0.014666666,0.0,0.0
62,0.84205556,0.14322223,0.014722222,0.0,0.0
63,0.84205556,0.14322223,0.014666666,5.5555556E-5,0.0
64,0.84183335,0.14327778,0.014833333,5.5555556E-5,0.0
65,0.84183335,0.14327778,0.014833333,5.5555556E-5,0.0
66,0.84155554,0.14355555,0.014833333,0.0,5.5555556E-5
67,0.84144443,0.14361112,0.014888889,0.0,5.5555556E-5
68,0.8413889,0.14355555,0.015,0.0,5.5555556E-5
69,0.8412778,0.14361112,0.015055556,0.0,5.5555556E-5
70,0.8411667,0.14366667,0.015111111,0.0,5.5555556E-5
71,0.8411111,0.14366667,0.015166666,0.0,5.5555556E-5
72,0.8408333,0.14388889,0.015222223,0.0,5.5555556E-5
