frame,zone1_ratio,zone2_ratio,zone3_ratio,zone4_ratio,zone5_ratio
1,0.8603889,0.13961111,0.0,0.0,0.0
2,0.85116667,0.14688888,0.0019444445,0.0,0.0
3,0.8506111,0.144,0.005388889,0.0,0.0
4,0.8505,0.14266667,0.0068333335,0.0,0.0
5,0.8505,0.14216666,0.007333333,0.0,0.0
6,0.8505,0.14183334,0.0076666665,0.0,0.0
7,0.8505,0.14127778,0.008222222,0.0,0.0
8,0.8505,0.14072222,0.008777778,0.0,0.0
9,0.8505,0.14005555,0.009444444,0.0,0.0
10,0.85044444,0.1395,0.010055556,0.0,0.0
11,0.85044444,0.139,0.010555555,0.0,0.0
12,0.85044444,0.13877778,0.010777778,0.0,0.0
13,0.85044444,0.13844444,0.011111111,0.0,0.0
14,0.85044444,0.13838889,0.011166667,0.0,0.0
15,0.8503889,0.13827778,0.011333333,0.0,0.0
16,0.85033333,0.13827778,0.011388889,0.0,0.0
17,0.85033333,0.13811111,0.011555555,0.0,0.0
18,0.8501667,0.13822222,0.011611111,0.0,0.0
19,0.8501667,0.13811111,0.011722222,0.0,0.0
20,0.8501667,0.1378889,0.011944445,0.0,0.0
21,0.8501111,0.1378889,0.012,0.0,0.0
22,0.8501111,0.13777778,0.012111112,0.0,0.0
23,0.8501111,0.13766667,0.012222222,0.0,0.0
24,0.8500556,0.13772222,0.012222222,0.0,0.0
25,0.85,0.13755555,0.012444444,0.0,0.0
26,0.85,0.1375,0.0125,0.0,0.0
27,0.85,0.13727778,0.012722222,0.0,0.0
28,0.84977776,0.13733333,0.012888889,0.0,0.0
29,0.8497222,0.13733333,0.012944444,0.0,0.0
30,0.8497222,0.13722222,0.0130555555,0.0,0.0
31,0.8496111,0.13733333,0.0130555555,0.0,0.0
32,0.84955555,0.13727778,0.013166667,0.0,0.0
33,0.84955555,0.13722222,0.013222222,0.0,0.0
34,0.8495,0.13705556,0.013444444,0.0,0.0
35,0.8495,0.13694444,0.013555556,0.0,0.0
36,0.8495,0.13694444,0.013555556,0.0,0.0
37,0.8495,0.13688889,0.013611111,0.0,0.0
38,0.84944445,0.13694444,0.013611111,0.0,0.0
39,0.84944445,0.13688889,0.013666667,0.0,0.0
40,0.8493889,0.13683334,0.013777778,0.0,0.0
41,0.84933335,0.13677777,0.013888889,0.0,0.0
42,0.8492778,0.13677777,0.013944444,0.0,0.0
43,0.84922224,0.13672222,0.014055556,0.0,0.0
44,0.84911114,0.13683334,0.014055556,0.0,0.0
45,0.8490555,0.13688889,0.014055556,0.0,0.0
46,0.8490555,0.13688889,0.014055556,0.0,0.0
47,0.8490555,0.13688889,0.014055556,0.0,0.0
48,0.849,0.13694444,0.014055556,0.0,0.0
49,0.849,0.13694444,0.014055556,0.0,0.0
50,0.8488333,0.137,0.014166667,0.0,0.0
51,0.8487778,0.137,0.014222222,0.0,0.0
52,0.84866667,0.137,0.014333333,0.0,0.0
53,0.8486111,0.13705556,0.014333333,0.0,0.0
54,0.8486111,0.13694444,0.014444444,0.0,0.0
55,0.84844446,0.13694444,0.014611111,0.0,0.0
56,0.84844446,0.13688889,0.014666666,0.0,0.0
57,0.8483889,0.13694444,0.014666666,0.0,0.0
58,0.8482778,0.13694444,0.014777778,0.0,0.0
59,0.8482778,0.13694444,0.014777778,0.0,0.0
60,0.84805554,0.13716666,0.014777778,0.0,0.0
61,0.84805554,0.13711111,0.014833333,0.0,0.0
62,0.848,0.13716666,0.014833333,0.0,0.0
63,0.848,0.13711111,0.014888889,0.0,0.0
64,0.84794444,0.13716666,0.014888889,0.0,0.0
65,0.84783334,0.13722222,0.014944444,0.0,0.0
66,0.84772223,0.13733333,0.014944444,0.0,0.0
67,0.8476667,0.13738889,0.014944444,0.0,0.0
68,0.8476667,0.13722222,0.015111111,0.0,0.0
69,0.8475556,0.13733333,0.015111111,0.0,0.0
70,0.84738886,0.1375,0.015111111,0.0,0.0
71,0.8472222,0.13766667,0.015111111,0.0,0.0
72,0.84716666,0.13744445,0.015388889,0.0,0.0
73,0.84716666,0.13744445,0.015388889,0.0,0.0
74,0.84705555,0.13755555,0.015388889,0.0,0.0
75,0.8153889,0.16838889,0.016222222,0.0,0.0
76,0.8057778,0.16011111,0.034055557,5.5555556E-5,0.0
77,0.8046111,0.15172222,0.043555554,5.5555556E-5,5.5555556E-5
78,0.8043889,0.1493889,0.045722224,3.8888888E-4,1.1111111E-4
79,0.8040556,0.14888889,0.0465,1.6666666E-4,3.8888888E-4
80,0.80355555,0.14877778,0.047111113,1.6666666E-4,3.8888888E-4
81,0.80311114,0.14861111,0.04772222,1.1111111E-4,4.4444445E-4
