frame,zone1_ratio,zone2_ratio,zone3_ratio,zone4_ratio,zone5_ratio
1,0.8623889,0.1376111,0.0,0.0,0.0
2,0.8538333,0.14438888,0.0017777778,0.0,0.0
3,0.8531111,0.14133333,0.0055555557,0.0,0.0
4,0.8531111,0.14077778,0.006111111,0.0,0.0
5,0.8531111,0.14005555,0.0068333335,0.0,0.0
6,0.85305554,0.13961111,0.007333333,0.0,0.0
7,0.853,0.13933334,0.0076666665,0.0,0.0
8,0.853,0.13872223,0.008277778,0.0,0.0
9,0.853,0.13833334,0.008666666,0.0,0.0
10,0.853,0.13794445,0.009055556,0.0,0.0
11,0.853,0.1375,0.0095,0.0,0.0
12,0.853,0.13733333,0.009666666,0.0,0.0
13,0.85294443,0.13727778,0.009777778,0.0,0.0
14,0.85294443,0.13716666,0.009888889,0.0,0.0
15,0.85294443,0.13711111,0.0099444445,0.0,0.0
16,0.85294443,0.137,0.010055556,0.0,0.0
17,0.85294443,0.13688889,0.0101666665,0.0,0.0
18,0.8528889,0.13677777,0.010333333,0.0,0.0
19,0.8528889,0.13666667,0.010444445,0.0,0.0
20,0.85283333,0.13655555,0.010611111,0.0,0.0
21,0.8527222,0.1366111,0.010666667,0.0,0.0
22,0.8527222,0.1365,0.010777778,0.0,0.0
23,0.8526111,0.13655555,0.010833333,0.0,0.0
24,0.8526111,0.13644445,0.010944445,0.0,0.0
25,0.8525556,0.13638888,0.011055555,0.0,0.0
26,0.85244447,0.1365,0.011055555,0.0,0.0
27,0.8523889,0.13655555,0.011055555,0.0,0.0
28,0.85227776,0.13655555,0.011166667,0.0,0.0
29,0.85227776,0.1365,0.011222222,0.0,0.0
30,0.85216665,0.1365,0.011333333,0.0,0.0
31,0.8521111,0.13627778,0.011611111,0.0,0.0
32,0.852,0.13633333,0.011611111,5.5555556E-5,0.0
33,0.8518889,0.13644445,0.011444445,2.2222222E-4,0.0
34,0.8517778,0.13655555,0.011444445,2.2222222E-4,0.0
35,0.85172224,0.1366111,0.011444445,1.1111111E-4,1.1111111E-4
36,0.85172224,0.1365,0.011555555,1.1111111E-4,1.1111111E-4
37,0.8516667,0.1365,0.011611111,1.1111111E-4,1.1111111E-4
38,0.8515,0.1366111,0.011666667,1.1111111E-4,1.1111111E-4
39,0.85127777,0.13666667,0.011833333,1.1111111E-4,1.1111111E-4
40,0.85116667,0.13666667,0.011944445,1.1111111E-4,1.1111111E-4
41,0.85116667,0.1366111,0.012,1.1111111E-4,1.1111111E-4
42,0.851,0.13677777,0.012,1.1111111E-4,1.1111111E-4
43,0.8508889,0.13677777,0.012111112,1.1111111E-4,1.1111111E-4
44,0.8508889,0.13655555,0.0123333335,1.1111111E-4,1.1111111E-4
45,0.8507222,0.13655555,0.0125,1.1111111E-4,1.1111111E-4
46,0.8506111,0.13666667,0.0125,1.1111111E-4,1.1111111E-4
47,0.8503889,0.13683334,0.012555555,1.1111111E-4,1.1111111E-4
48,0.85033333,0.13688889,0.0125,1.6666666E-4,1.1111111E-4
49,0.8502778,0.13694444,0.0125,1.6666666E-4,1.1111111E-4
50,0.8501667,0.13683334,0.012722222,1.6666666E-4,1.1111111E-4
51,0.8500556,0.13688889,0.012777777,1.6666666E-4,1.1111111E-4
52,0.8499445,0.13688889,0.012888889,1.6666666E-4,1.1111111E-4
53,0.8498333,0.13694444,0.012944444,1.6666666E-4,1.1111111E-4
54,0.84977776,0.137,0.012888889,2.2222222E-4,1.1111111E-4
55,0.8497222,0.137,0.012888889,2.7777778E-4,1.1111111E-4
56,0.8497222,0.137,0.012888889,2.7777778E-4,1.1111111E-4
57,0.84955555,0.13711111,0.012944444,2.7777778E-4,1.1111111E-4
58,0.84944445,0.13705556,0.013111111,2.7777778E-4,1.1111111E-4
59,0.8493889,0.13711111,0.013111111,2.2222222E-4,1.6666666E-4
60,0.84922224,0.13727778,0.013111111,2.2222222E-4,1.6666666E-4
61,0.8491667,0.13733333,0.013111111,2.2222222E-4,1.6666666E-4
62,0.8491667,0.13733333,0.013111111,2.2222222E-4,1.6666666E-4
63,0.8489444,0.13755555,0.013111111,2.2222222E-4,1.6666666E-4
64,0.8487778,0.1376111,0.013222222,2.2222222E-4,1.6666666E-4
65,0.8487222,0.13766667,0.013222222,2.2222222E-4,1.6666666E-4
66,0.8486111,0.13777778,0.013222222,2.2222222E-4,1.6666666E-4
67,0.8483889,0.138,0.013222222,2.2222222E-4,1.6666666E-4
68,0.8482778,0.138,0.013333334,2.2222222E-4,1.6666666E-4
69,0.8482222,0.13805556,0.013333334,2.2222222E-4,1.6666666E-4
70,0.8481111,0.138,0.013444444,2.7777778E-4,1.6666666E-4
71,0.84783334,0.13822222,0.0135,2.7777778E-4,1.6666666E-4
72,0.8474444,0.13838889,0.013722222,2.7777778E-4,1.6666666E-4
73,0.8472222,0.13844444,0.013722222,3.8888888E-4,2.2222222E-4
74,0.8472222,0.13838889,0.013722222,3.8888888E-4,2.7777778E-4
75,0.8326667,0.1525,0.013944444,5.5555557E-4,3.3333333E-4
76,0.83155555,0.148,0.0195,5.5555557E-4,3.8888888E-4
77,0.83111113,0.14716667,0.020555556,7.7777775E-4,3.8888888E-4
78,0.83044446,0.14733334,0.021055555,6.111111E-4,5.5555557E-4
79,0.8302778,0.14705555,0.0215,5.5555557E-4,6.111111E-4
80,0.8302778,0.14677778,0.021722222,6.111111E-4,6.111111E-4
81,0.83016664,0.14644444,0.022166668,6.111111E-4,6.111111E-4
82,0.83,0.14627777,0.022444444,6.111111E-4,6.6666666E-4
83,0.8295,0.1465,0.022722222,6.111111E-4,6.6666666E-4
84,0.8293333,0.1465,0.02288889,5.5555557E-4,7.222222E-4
85,0.829,0.14666666,0.023055555,5.5555557E-4,7.222222E-4
86,0.8285556,0.147,0.02311111,6.111111E-4,7.222222E-4
87,0.82816666,0.14733334,0.023166666,6.111111E-4,7.222222E-4
88,0.8278889,0.14755556,0.023166666,6.111111E-4,7.7777775E-4
89,0.8277778,0.14766666,0.023166666,6.111111E-4,7.7777775E-4
90,0.82766664,0.14761111,0.023277778,6.111111E-4,8.3333335E-4
91,0.8270556,0.1481111,0.023388889,6.111111E-4,8.3333335E-4
92,0.82644445,0.14866666,0.023444444,6.111111E-4,8.3333335E-4
93,0.8260555,0.14888889,0.023611112,6.111111E-4,8.3333335E-4
94,0.82555556,0.14933333,0.023666667,6.111111E-4,8.3333335E-4
95,0.8252222,0.14961112,0.023722222,6.111111E-4,8.3333335E-4
96,0.8244445,0.15011111,0.024,6.111111E-4,8.3333335E-4
97,0.82394445,0.1505,0.02411111,6.111111E-4,8.3333335E-4
98,0.8235,0.15077777,0.024277778,6.111111E-4,8.3333335E-4
99,0.82277775,0.1515,0.024222223,6.6666666E-4,8.3333335E-4
100,0.8225,0.1516111,0.024388889,6.6666666E-4,8.3333335E-4
101,0.8217222,0.15238889,0.024388889,6.6666666E-4,8.3333335E-4
102,0.82122225,0.15283333,0.024444444,6.111111E-4,8.888889E-4
103,0.8206667,0.15327778,0.024555556,6.111111E-4,8.888889E-4
104,0.81994444,0.1538889,0.024666667,6.111111E-4,8.888889E-4
105,0.8191111,0.15461111,0.024777777,6.111111E-4,8.888889E-4
106,0.81866664,0.155,0.024833333,6.111111E-4,8.888889E-4
107,0.81844443,0.1551111,0.024833333,7.222222E-4,8.888889E-4
108,0.81794447,0.15544444,0.025,7.222222E-4,8.888889E-4
109,0.8171667,0.15622222,0.025,6.6666666E-4,9.4444444E-4
110,0.8162778,0.15711111,0.025,6.6666666E-4,9.4444444E-4
111,0.8156111,0.15772222,0.025055556,6.6666666E-4,9.4444444E-4
112,0.8151111,0.15816666,0.02511111,6.6666666E-4,9.4444444E-4
113,0.8143889,0.15877777,0.025222221,6.111111E-4,0.001
114,0.81355554,0.15944445,0.025333334,6.6666666E-4,0.001
115,0.8128333,0.16011111,0.025388889,6.6666666E-4,0.001
116,0.8125,0.16038889,0.025388889,7.222222E-4,0.001
117,0.8117222,0.16116667,0.025333334,7.222222E-4,0.0010555555
118,0.8112222,0.16161111,0.025388889,7.222222E-4,0.0010555555
119,0.8103333,0.1625,0.025388889,7.222222E-4,0.0010555555
120,0.80983335,0.16288888,0.0255,6.6666666E-4,0.0011111111
121,0.8091111,0.1635,0.025611112,6.6666666E-4,0.0011111111
122,0.8085,0.16388889,0.025833333,6.6666666E-4,0.0011111111
123,0.8079444,0.16433333,0.025888888,7.222222E-4,0.0011111111
124,0.80705553,0.16522223,0.025888888,7.222222E-4,0.0011111111
125,0.80344445,0.16866666,0.026055556,7.222222E-4,0.0011111111
126,0.8032778,0.16872223,0.026166666,7.222222E-4,0.0011111111
127,0.8027222,0.16911112,0.026333334,7.222222E-4,0.0011111111
128,0.8022778,0.16916667,0.026722223,7.222222E-4,0.0011111111
129,0.802,0.16877778,0.027333334,7.7777775E-4,0.0011111111
130,0.8016667,0.16888888,0.027444445,8.888889E-4,0.0011111111
131,0.80138886,0.16894445,0.02738889,0.0011111111,0.0011666666
132,0.80116665,0.16911112,0.027222222,0.0012222222,0.0012777778
133,0.8011111,0.16894445,0.02738889,0.0011111111,0.0014444444
134,0.80105555,0.16877778,0.02761111,9.4444444E-4,0.0016111111
135,0.8008889,0.16894445,0.02761111,8.888889E-4,0.0016666667
136,0.8005555,0.16927777,0.02761111,8.888889E-4,0.0016666667
137,0.8003889,0.16938889,0.027666667,8.888889E-4,0.0016666667
138,0.80005556,0.16955556,0.027833333,8.3333335E-4,0.0017222222
139,0.7998889,0.16961111,0.027777778,0.001,0.0017222222
140,0.79966664,0.16983333,0.027777778,0.001,0.0017222222
141,0.7995,0.16983333,0.027944444,8.3333335E-4,0.0018888889
142,0.7992778,0.16983333,0.028166667,8.3333335E-4,0.0018888889
143,0.799,0.16994445,0.028222222,9.4444444E-4,0.0018888889
144,0.7989445,0.17,0.028222222,9.4444444E-4,0.0018888889
145,0.79888886,0.17005555,0.028055556,0.0010555555,0.0019444445
146,0.79866666,0.17016667,0.028166667,0.0010555555,0.0019444445
147,0.7986111,0.17022222,0.028166667,8.888889E-4,0.002111111
148,0.7983889,0.17038889,0.028222222,8.888889E-4,0.002111111
149,0.7982778,0.1705,0.028222222,8.888889E-4,0.002111111
150,0.798,0.17072222,0.028277777,8.888889E-4,0.002111111
151,0.7977222,0.17094444,0.028333334,8.888889E-4,0.002111111
