frame,zone1_ratio,zone2_ratio,zone3_ratio,zone4_ratio,zone5_ratio
1,0.86072224,0.13927777,0.0,0.0,0.0
2,0.8518889,0.146,0.002111111,0.0,0.0
3,0.85127777,0.14244445,0.0062777777,0.0,0.0
4,0.8512222,0.14144444,0.007333333,0.0,0.0
5,0.8512222,0.141,0.007777778,0.0,0.0
6,0.8512222,0.14038889,0.008388889,0.0,0.0
7,0.8512222,0.14,0.008777778,0.0,0.0
8,0.8512222,0.13927777,0.0095,0.0,0.0
9,0.8512222,0.13894445,0.009833333,0.0,0.0
10,0.8512222,0.13872223,0.010055556,0.0,0.0
11,0.8512222,0.13838889,0.010388889,0.0,0.0
12,0.8512222,0.13816667,0.010611111,0.0,0.0
13,0.8512222,0.1378889,0.0108888885,0.0,0.0
14,0.8512222,0.1375,0.011277778,0.0,0.0
15,0.8512222,0.13722222,0.011555555,0.0,0.0
16,0.85116667,0.13716666,0.011666667,0.0,0.0
17,0.85116667,0.13711111,0.011722222,0.0,0.0
18,0.85116667,0.137,0.011833333,0.0,0.0
19,0.85116667,0.13683334,0.012,0.0,0.0
20,0.85116667,0.13672222,0.012111112,0.0,0.0
21,0.8511111,0.13672222,0.012166667,0.0,0.0
22,0.8511111,0.1366111,0.012277778,0.0,0.0
23,0.8511111,0.1365,0.012388889,0.0,0.0
24,0.85105556,0.13644445,0.0125,0.0,0.0
25,0.8508889,0.1366111,0.0125,0.0,0.0
26,0.85083336,0.13633333,0.012833334,0.0,0.0
27,0.8507778,0.13627778,0.012944444,0.0,0.0
28,0.8507778,0.13622223,0.013,0.0,0.0
29,0.85066664,0.13605556,0.0132777775,0.0,0.0
30,0.8506111,0.136,0.013388889,0.0,0.0
31,0.8506111,0.136,0.013388889,0.0,0.0
32,0.85055554,0.136,0.013444444,0.0,0.0
33,0.85055554,0.136,0.013444444,0.0,0.0
34,0.85055554,0.13594444,0.0135,0.0,0.0
35,0.85044444,0.13594444,0.013611111,0.0,0.0
36,0.85044444,0.13594444,0.013611111,0.0,0.0
37,0.85044444,0.13583334,0.013722222,0.0,0.0
38,0.8503889,0.13572222,0.013888889,0.0,0.0
39,0.8502778,0.13583334,0.013888889,0.0,0.0
40,0.85022223,0.13583334,0.013944444,0.0,0.0
41,0.8501111,0.13594444,0.013944444,0.0,0.0
42,0.85,0.136,0.014,0.0,0.0
43,0.84988886,0.13611111,0.014,0.0,0.0
44,0.8498333,0.13611111,0.014055556,0.0,0.0
45,0.8497222,0.13616666,0.014111111,0.0,0.0
