frame,zone1_ratio,zone2_ratio,zone3_ratio,zone4_ratio,zone5_ratio
1,0.85627776,0.14372222,0.0,0.0,0.0
2,0.848,0.14983334,0.0021666666,0.0,0.0
3,0.8473333,0.14661111,0.006055556,0.0,0.0
4,0.84727776,0.14572223,0.007,0.0,0.0
5,0.84716666,0.14522222,0.0076111113,0.0,0.0
6,0.84716666,0.14483333,0.008,0.0,0.0
7,0.84716666,0.14411111,0.008722222,0.0,0.0
8,0.84716666,0.14383334,0.009,0.0,0.0
9,0.84716666,0.1435,0.009333333,0.0,0.0
10,0.8471111,0.14311111,0.009777778,0.0,0.0
11,0.8471111,0.14261112,0.010277778,0.0,0.0
12,0.8471111,0.14233333,0.010555555,0.0,0.0
13,0.8471111,0.142,0.0108888885,0.0,0.0
14,0.8471111,0.14188889,0.011,0.0,0.0
15,0.8471111,0.14172222,0.011166667,0.0,0.0
16,0.8471111,0.1415,0.011388889,0.0,0.0
17,0.84705555,0.14133333,0.011611111,0.0,0.0
18,0.84705555,0.14122222,0.011722222,0.0,0.0
19,0.847,0.14122222,0.011777778,0.0,0.0
20,0.847,0.14105555,0.011944445,0.0,0.0
21,0.847,0.14083333,0.012166667,0.0,0.0
22,0.847,0.14077778,0.012222222,0.0,0.0
23,0.84694445,0.14072222,0.0123333335,0.0,0.0
24,0.84694445,0.14066666,0.012388889,0.0,0.0
25,0.8468889,0.14061111,0.0125,0.0,0.0
26,0.84683335,0.14055556,0.012611111,0.0,0.0
27,0.84683335,0.1405,0.012666667,0.0,0.0
28,0.8467778,0.1405,0.012722222,0.0,0.0
29,0.8466667,0.1405,0.012833334,0.0,0.0
30,0.8466111,0.14038889,0.013,0.0,0.0
31,0.8465,0.1405,0.013,0.0,0.0
32,0.8463889,0.14061111,0.013,0.0,0.0
33,0.8462778,0.14072222,0.013,0.0,0.0
34,0.8462778,0.14072222,0.013,0.0,0.0
35,0.8462778,0.14066666,0.0130555555,0.0,0.0
36,0.8461667,0.14077778,0.0130555555,0.0,0.0
37,0.8461667,0.14077778,0.0130555555,0.0,0.0
38,0.8461667,0.14061111,0.013222222,0.0,0.0
39,0.8461667,0.14061111,0.013222222,0.0,0.0
40,0.84605557,0.14061111,0.013333334,0.0,0.0
41,0.84594446,0.14072222,0.013333334,0.0,0.0
42,0.84577775,0.14083333,0.013388889,0.0,0.0
43,0.8457222,0.14083333,0.013444444,0.0,0.0
44,0.84566665,0.14066666,0.013666667,0.0,0.0
45,0.8456111,0.14066666,0.013722222,0.0,0.0
46,0.84555554,0.14066666,0.013777778,0.0,0.0
47,0.8455,0.14072222,0.013777778,0.0,0.0
48,0.84533334,0.14088888,0.013777778,0.0,0.0
